n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max
9,4,45,83,slike_geodesic_min/graf_geodesic_min_mu4_n9.png,slike_geodesic_max/graf_geodesic_max_mu4_n9.png,H?AACJ~,H?B@pro
5,5,17,17,slike_geodesic_min/graf_geodesic_min_mu5_n5.png,slike_geodesic_max/graf_geodesic_max_mu5_n5.png,D^{,D^{
6,5,23,31,slike_geodesic_min/graf_geodesic_min_mu5_n6.png,slike_geodesic_max/graf_geodesic_max_mu5_n6.png,EEvw,EFzo
7,5,29,49,slike_geodesic_min/graf_geodesic_min_mu5_n7.png,slike_geodesic_max/graf_geodesic_max_mu5_n7.png,FCdfw,F?zv_
8,5,36,70,slike_geodesic_min/graf_geodesic_min_mu5_n8.png,slike_geodesic_max/graf_geodesic_max_mu5_n8.png,GCOcf{,G?ovf_
9,5,45,94,slike_geodesic_min/graf_geodesic_min_mu5_n9.png,slike_geodesic_max/graf_geodesic_max_mu5_n9.png,H?`@CR~,H?B@vbo
5,6,15,15,slike_geodesic_min/graf_geodesic_min_mu6_n5.png,slike_geodesic_max/graf_geodesic_max_mu6_n5.png,D~{,D~{
6,6,21,30,slike_geodesic_min/graf_geodesic_min_mu6_n6.png,slike_geodesic_max/graf_geodesic_max_mu6_n6.png,ETnw,EFzw
7,6,28,49,slike_geodesic_min/graf_geodesic_min_mu6_n7.png,slike_geodesic_max/graf_geodesic_max_mu6_n7.png,FCe^w,F?~v_
8,6,36,72,slike_geodesic_min/graf_geodesic_min_mu6_n8.png,slike_geodesic_max/graf_geodesic_max_mu6_n8.png,G?aK^{,G?zTf_
9,6,45,96,slike_geodesic_min/graf_geodesic_min_mu6_n9.png,slike_geodesic_max/graf_geodesic_max_mu6_n9.png,H?ACKN~,H?r@fbo
6,7,24,30,slike_geodesic_min/graf_geodesic_min_mu7_n6.png,slike_geodesic_max/graf_geodesic_max_mu7_n6.png,ET~w,E]~o
7,7,28,47,slike_geodesic_min/graf_geodesic_min_mu7_n7.png,slike_geodesic_max/graf_geodesic_max_mu7_n7.png,FQinw,FFzf_
8,7,36,74,slike_geodesic_min/graf_geodesic_min_mu7_n8.png,slike_geodesic_max/graf_geodesic_max_mu7_n8.png,GCQSn{,G?zVf_
9,7,45,99,slike_geodesic_min/graf_geodesic_min_mu7_n9.png,slike_geodesic_max/graf_geodesic_max_mu7_n9.png,H?`CSV~,H?ovFbo
6,8,25,27,slike_geodesic_min/graf_geodesic_min_mu8_n6.png,slike_geodesic_max/graf_geodesic_max_mu8_n6.png,EV~w,E]~w
7,8,32,46,slike_geodesic_min/graf_geodesic_min_mu8_n7.png,slike_geodesic_max/graf_geodesic_max_mu8_n7.png,FCv^w,FFzfo
